Text,Sentiment
geraldo alckmin reeleito governador sao paulo ja ta decidido dilma vai pro segundo turno contra aecio neves aeciodevirada,Positive
unica coisa n queria alckmin governador dilma aceito,Positive
toma porra to revoltada pais retardado q vota dilma meoooo,Positive
dilma pegou pais ja estabilizado sistema pt anos ja pt facil assim nao,Positive
dilma aecio segundo turno voces sao otarios,Positive
dilma jair pedro protesto ja nao ninguem joao paulo rene patriota edilson silva,Positive
rt so dica dilma cair servidor cai tambem viu concurso so kakakak,Positive
tbm n leq aecio ganhar acabou pais esperanca porra toda dilma fdp melhor deixar dilma,Positive
perdi dia pastel caldo cana pra ver dilma ganhando porra,Positive
queda livre x ascensao segundo turno dilma aecio nao dilma marina pesquisas sao furadas,Positive
engracado povo vota dilma reclama certas situacoes passam,Positive
rj marina bem perto dilma votos apoiar vai ser bem vindo,Positive
ta decidido dilma porra otaria vaca odeio pega aecio segundo turno,Positive
fijate lo decia el diario clarin argentino amigo oglobo brasilero brasildecide dilma silva,Positive
dilma aecio ta tudo otimo imagina marina meio deus q livre,Positive
negocio pt tudo birrinha sabe dilma melhor fica nessa so p ser contra,Positive
aecio ganhar pq qualquer coisa vai ser melhor dilma,Positive
matem anotem dilma vai ganhar agora daqui anos lula ganha tbm dps anos reelege anos puro pt hmm delicia,Positive
tao bom minas peso votou dilma,Positive
aecio forte esperado neste cenario provavel dilma perca turno,Positive
dilma aecio lembre melhor diabo voce conhece povo ta achando nao pode piorar,Positive
agora q venca aecio q dilma quatro anos nao vai dar certo,Positive
euvoteimarina infelizmente dilma vence facil turno,Positive
vcs falam tanto aecio professores dilma faz algo p valorizar servidores publicos,Positive
todas manifestacoes ainda votam dilma iluminem ser humano desse,Positive
moral voces sao burros p caralho burros votou dilma,Positive
votei aecio to feliz pra crl serio so pena saber q ainda gente q vota dilma nao conformo,Positive
cris petista distorce favor pt humano quero dizer parte natureza humana louca lula dilma,Positive
melhor coisa aecio turno marina dilma preferiria morte lenta,Positive
quero saber ta feliz vitoria dilma,Positive
brasil pais onde pessoas fodem nao aprendem legal elegerem dilma novo parabens pra voces viu,Positive
dilma votos sao paulo vai ver porque governo excelente ne,Positive
boca urna ibope mostra turno sera dilma aecio msnpt brbbhn i aecio neves dilma vai ver bom,Positive
pessoas q pra rua votam dilma tao coerente quanto homossexuais q desejam ter familia legal igualdade votam marina,Positive
pra vcs nao gostam dilma pensem bem antes pedir pais governado aecioporto po,Positive
odiar dilma aercio coisa odiar nordestinos outra,Positive
mano vcs parassem ser falsos fazessem q falam lucianinha vcs tava turno c dilma massss ne acho bom,Positive
burrada achar aecio vai ser melhor dilma,Positive
admiro fhc pra caralho embora achado mandato merda ja aecio desprezo dilma nao excelente,Positive
segundo turno decidido dilma aecio,Positive
merval disse votacao marina sao paulo nao ira dilma,Positive
gente tela dizendo aecio melhor dilma rico come lixo,Positive
legal q hora pra outra todo mundo viro super consciente anti dilma entendedores politica,Positive
dilma aecio devem disputar segundo turno presidencia momento verdadeiro momentoverdadeirodilma aecio devem disputar segundo turno presidenciahtml via,Positive
sao paulo diz nao pt rumo segundo turno dilma x aecio,Positive
resultado surpreendente osasco tradicional reduto petista dilma rousseff pt ocupa apenas terceira,Positive
nao gosto dilma caralho voces sao hipocritas,Positive
sao paulo pt aecio neves cola dilma ai brasil mostra forca bota estrela vermelha pra correr,Positive
segundo turnoooooooo ja decidido dilma aecio,Positive
aecio merecia povo brasileiro nao percebeu dilma vai afundar brasil,Positive
vejo tanto gente tl pras ruas protestar ta nessa dilma melhor amorrr,Positive
quero brasil foda agora dilma vai terminar afundar pais parabens pra votou nela,Positive
dilma competente candidatos,Positive
maaaan,Positive
brasil ta fundo poco sim dilma continuar topo brasil so vai afundar,Positive
agora cada defina melhor tatica aecio todos contra dilma comecando agoran to nessa,Positive
sim porque nada virou defensor dilma auhauhauhauhuaha,Positive
dilma capaz vir pra sc pedir voto trouxa ainda votam nela,Positive
amiga pra vc ve nao tao errada assim aecio tao competente proprio estado votou dilma,Positive
estao surpresos dilma estar ganhando minas saibam belo horizonte,Positive
incrivel gente defendendo dona dilma,Positive
trabalhador brasileiro gosta sofrer so pode povo reclama todo dia inferno pais ai pessoa vai la vota dilma pqp,Positive
sei la dilma mandou bilhoes reais pro porto cuba nao afeta leitura chorume comunismo eh bom ne fera,Positive
sao paulo dilma rousseff marina silva empate tecnico,Positive
reclama dilma vota aecio sabe nada inocente,Positive
vem falar quer brasil melhor melhor votando dilma,Positive
aii criatura passa quatro anos reclamanfo dilma ai vai vota nela criatua erra humano percisti erro burrice,Positive
melhor dilma marina aecio menos brasil nao vai ficar bosta ja ta,Positive
criatura vota dilma quer brasil melhor vai entender,Positive
marina tira votos aecio dilma bem capaz ate obvio votos voltem pro aecio,Positive
decidido dilma vs aecio,Positive
torco resultado segundo turno tire pt melhor dilma jogada ficareiagradecida,Positive
so sei coisa dilma aqui sao paulo nao aqui nao,Positive
nao nada contra aecio votei nele pro governo mg pro senado so acho dilma melhor marina hein rs,Positive
hipocrisia nao votasse dilma trabalho poder publico estadual tudo gracas bom emprego,Positive
atualizado dilma aecio marina corinthians sao paulo,Positive
espero todos vcs votaram dilma reconhecam erro filhos vcs precisarem esperar atendimento digno ama,Positive
melhor aecio ne so queria entender tudo voto dilma tendo tanto protesto contra xingando estadios,Positive
nao gosta dilma facil entao cara pega ignora hora comprar coisa ignora beneficios fiscais,Positive
sim duvido dilma ganhe nao votaria aecio atual circunstancia melhor tentar mudar aguentar,Positive
ver cara pau apoiar dilma cansou falar mal velha politica etc,Positive
gracas dilma q fez campanha pra heloisa helena mt superior,Positive
ta decidido aecio x dilma,Positive
aecio melhor dilma amiga vc lembra governou minas gerais nao ne ata,Positive
coitado olivio ate votado nele nao mimimi tarso dilma coitado ia pra la so arrasto,Positive
nao acredito manipular votos familia toda dilma fica rj,Positive
calma acho dilma vai ganhar,Positive
nesse exato momento calafrio humano sobe espinha dilma toda corja pt,Positive
sao paulo dilma praticamente empatada marina quase ficou terceiro lugar forapt eleicoes,Positive
fogos todos nao sao pra dilma nao ne espero,Positive
otarios q vaiaram dilma copa sao q votaram nela falo nada,Positive
engracado todo mundo fala mal dilma blablabla vai ver resultao plou ta liderando,Positive
cheguei hoje dando bom dia logo nao vote dilma,Positive
